lemma,layer,method,n_samples,n_true_labels,n_clusters_found,silhouette,ari,nmi,davies_bouldin,calinski_harabasz
bat,6,kmeans,29,2,2,0.32240229845046997,0.8620856990343088,0.8123117587383102,1.3387867118502523,14.082186698913574
bat,6,hdbscan,29,2,2,0.2344590723514557,0.4597667779551943,0.3971759457954477,2.1028354725337244,6.259234428405762
bat,7,kmeans,29,2,2,0.32614976167678833,0.8620856990343088,0.8123117587383102,1.334131251289072,14.182195663452148
bat,7,hdbscan,29,2,0,,,,,
bat,8,kmeans,29,2,2,0.3269517123699188,0.8620856990343088,0.8123117587383102,1.3387142619139658,14.088085174560547
bat,8,hdbscan,29,2,0,,,,,
bat,9,kmeans,29,2,2,0.30476728081703186,0.8620856990343088,0.8123117587383102,1.4329272508558317,12.30711841583252
bat,9,hdbscan,29,2,2,-0.02388954721391201,0.050643340037316145,0.2815850475687193,1.7644938878568912,2.8313558101654053
bat,10,kmeans,29,2,2,0.32724517583847046,0.7338286713286714,0.6252573208046709,1.310585670889898,14.167973518371582
bat,10,hdbscan,29,2,0,,,,,
bat,11,kmeans,29,2,2,0.32775241136550903,0.7338286713286714,0.6252573208046709,1.3224877250199931,14.003279685974121
bat,11,hdbscan,29,2,0,,,,,
bat,12,kmeans,29,2,2,0.291754812002182,0.8620856990343088,0.8123117587383102,1.4174890906367117,12.629432678222656
bat,12,hdbscan,29,2,0,,,,,
pitch,0,kmeans,88,2,2,0.7595188617706299,-0.016131771098658515,0.009529407158509069,0.17175320909670538,32.5825309753418
pitch,0,hdbscan,88,2,9,0.6303555965423584,0.015393484928111444,0.10683430789842686,1.5276895006945692,11.18505573272705
pitch,1,kmeans,88,2,2,0.21854816377162933,0.8051074205698732,0.6635426268008624,1.860524763790388,16.378616333007812
pitch,1,hdbscan,88,2,3,0.04860098659992218,0.23782648341141246,0.30197907286897985,3.1371352563766925,6.446404933929443
pitch,2,kmeans,88,2,2,0.2968614399433136,0.8051074205698732,0.6635426268008624,1.4450093668549988,27.202804565429688
pitch,2,hdbscan,88,2,2,0.22198586165905,0.6167477623595843,0.49724859560910756,2.711316578833159,14.988828659057617
pitch,3,kmeans,88,2,2,0.29433372616767883,0.8051074205698732,0.6635426268008624,1.3933380161667621,28.558135986328125
pitch,3,hdbscan,88,2,3,0.1404130607843399,0.3679119111829254,0.39729542283992697,2.3266880134435155,12.964534759521484
pitch,4,kmeans,88,2,2,0.27284422516822815,0.8051074205698732,0.6635426268008624,1.4861984107861637,25.371015548706055
pitch,4,hdbscan,88,2,3,0.13380283117294312,0.37777181647471775,0.41080549802886734,2.402328712582809,11.481237411499023
pitch,5,kmeans,88,2,2,0.2935777008533478,0.8051074205698732,0.6635426268008624,1.4016135693197131,28.63759422302246
pitch,5,hdbscan,88,2,2,0.27253207564353943,0.7826833284481004,0.590871961853193,1.9735239318781332,16.523035049438477
pitch,6,kmeans,88,2,2,0.29942992329597473,0.8051074205698732,0.6635426268008624,1.386930836801219,29.48645782470703
pitch,6,hdbscan,88,2,2,0.2631937563419342,0.7466254280544896,0.5502964027953271,2.133046416433322,16.31576156616211
pitch,7,kmeans,88,2,2,0.2946638762950897,0.8051074205698732,0.6635426268008624,1.4070778912222794,28.68259620666504
pitch,7,hdbscan,88,2,2,0.2697005569934845,0.7466254280544896,0.5502964027953271,2.0901291940456455,16.27703857421875
pitch,8,kmeans,88,2,2,0.27250945568084717,0.8051074205698732,0.6635426268008624,1.507016206041428,25.121095657348633
pitch,8,hdbscan,88,2,2,0.20227926969528198,0.565193875748389,0.4241513350857265,2.51827911803929,13.409088134765625
pitch,9,kmeans,88,2,2,0.26324164867401123,0.8051074205698732,0.6635426268008624,1.5504503903765097,23.625635147094727
pitch,9,hdbscan,88,2,3,0.1530865728855133,0.3981555581845076,0.3713877672742139,2.436974682272046,10.920519828796387
pitch,10,kmeans,88,2,2,0.29532772302627563,0.8051074205698732,0.6635426268008624,1.4116662920311513,28.369714736938477
pitch,10,hdbscan,88,2,2,0.29573965072631836,0.8149965520272359,0.6892721869433132,1.0513473061442318,16.61603546142578
pitch,11,kmeans,88,2,2,0.32293635606765747,0.8051074205698732,0.6635426268008624,1.3509654817169743,31.928836822509766
pitch,11,hdbscan,88,2,2,0.29418283700942993,0.7003379326330686,0.5427521834748747,2.1640882049968813,17.581249237060547
pitch,12,kmeans,88,2,2,0.30727559328079224,0.8051074205698732,0.6635426268008624,1.38693203031585,29.832332611083984
pitch,12,hdbscan,88,2,2,0.2958786189556122,0.7398200889227844,0.5907291965294391,2.099245234005471,16.769033432006836
